datetime,timestamp,side,price,amount,cost
2021-09-30T03:58:32.590Z,1632974312590,buy,6.523,38.807,253.138061
2021-09-30T03:58:34.110Z,1632974314110,buy,6.523,35.029,228.494167
2021-09-30T03:58:34.353Z,1632974314353,sell,6.524,34,221.816
2021-09-30T03:58:34.537Z,1632974314537,buy,6.523,17.8977690843,116.7471477368889
2021-09-30T03:58:34.565Z,1632974314565,sell,6.523,34,221.782
2021-09-30T03:58:35.370Z,1632974315370,sell,6.523,34,221.782
2021-09-30T03:58:40.539Z,1632974320539,sell,6.523,5.35,34.89805
2021-09-30T03:58:44.015Z,1632974324015,sell,6.523,34,221.782
2021-09-30T03:58:44.288Z,1632974324288,sell,6.523,34,221.782
2021-09-30T03:58:44.593Z,1632974324593,sell,6.523,28.3107690843,184.6711467368889
2021-09-30T03:58:44.593Z,1632974324593,sell,6.523,4.6892309157,30.5878532631111
2021-09-30T03:58:44.871Z,1632974324871,sell,6.523,34,221.782
2021-09-30T03:58:45.133Z,1632974325133,sell,6.523,34,221.782
2021-09-30T03:58:45.437Z,1632974325437,sell,6.523,10.57,68.94811
2021-09-30T03:58:45.813Z,1632974325813,sell,6.524,709.1907690843,4626.760577505973
2021-09-30T03:58:45.813Z,1632974325813,sell,6.523,57.0562309157,372.1777942631111
2021-09-30T03:58:49.477Z,1632974329477,buy,6.523,23.299,151.979377
2021-09-30T03:58:53.612Z,1632974333612,sell,6.523,76.651,499.994473
2021-09-30T03:58:53.992Z,1632974333992,sell,6.523,34,221.782
2021-09-30T03:59:08.018Z,1632974348018,sell,6.522,122.28,797.51016
2021-09-30T03:59:08.019Z,1632974348019,sell,6.523,6.491,42.340793
2021-09-30T03:59:09.597Z,1632974349597,sell,6.523,1.226,7.997198
2021-09-30T03:59:11.361Z,1632974351361,sell,6.523,7.665,49.998795
2021-09-30T03:59:11.441Z,1632974351441,sell,6.524,50.249,327.824476
2021-09-30T03:59:11.441Z,1632974351441,sell,6.523,43,280.489
2021-09-30T03:59:11.441Z,1632974351441,sell,6.523,37.904,247.247792
2021-09-30T03:59:16.243Z,1632974356243,buy,6.521,29.602,193.034642
2021-09-30T03:59:17.361Z,1632974357361,buy,6.521,33.71,219.82291
2021-09-30T03:59:18.409Z,1632974358409,sell,6.523,2,13.046
